Label,Comments,ID
--,Die Barabara Box würde auch @bowlingqueen1 und @anjatamara8 gefallen.,luzyborgia
--,Ich würde mich sehr über den Pink Box Adventskalender freuen 🌲 Und du? @nina_pina2111 💕,__life_is_beautyful_
--,Klasse! ❤️ BARBARA BOX @rosapluschy ❤️,crysyny91
--,Ich würde mich sehr über den Barbara Box Kalender freuen 🥰 @holger.arndt.9,jessikaarndt
--,Gerne den BARBARA BOX Adventskalender 💕❄️ @an_na.220,ly_an24
--,Black Box🖤 Danke für die mega Chance😍 @the_o.n.e_01,perfectpin_k
--,Wow!!! Barbara Box Adventskalender 🤩😍 ich würde mich sooo freuen zu gewinnen 💗💗💗💗 @rosapluschy 👏,missmommy28
--,Ich würde mich wirklich riesig über den Pink Box Premium Adventskalender freuen 🎄,ramona_biehl
--,Pink Box wäre wunderbar 🩷,verona_l93
--,Ich würde mich über die pinkbox Adventskalender freuen❤️,simonearntd
